kind,w,seed,skill,eps,w2,killed
flow0,0.2,1,3,0.003,0.04309930520956372,0.0
flow0,0.2,1,3,0.01,0.02206013983259803,0.003999948501586914
flow0,0.2,1,3,0.03,0.033637726680974214,0.08799993991851807
flow0,0.2,2,1,0.003,0.03292261235445188,0.0
flow0,0.2,2,1,0.01,0.02822574233643382,0.001999974250793457
flow0,0.2,2,1,0.03,0.02799837508898337,0.10199993848800659
flow0,0.2,2,2,0.003,0.03184042580389961,0.1499999761581421
flow0,0.2,2,2,0.01,0.029218661553570554,0.2979999780654907
flow0,0.2,2,2,0.03,0.044946430215100225,0.45399999618530273
flow0,0.2,2,3,0.003,0.036601122205458414,0.0
flow0,0.2,2,3,0.01,0.025708309263014397,0.003999948501586914
flow0,0.2,2,3,0.03,0.027732747708969607,0.07399994134902954
flow0,0.2,3,1,0.003,0.0270307224573407,0.0
flow0,0.2,3,1,0.01,0.0258698937047876,0.011999964714050293
flow0,0.2,3,1,0.03,0.026057819076460154,0.06999993324279785
flow0,0.2,3,2,0.003,0.03099720445461796,0.16399997472763062
flow0,0.2,3,2,0.01,0.031081813708607086,0.21799993515014648
flow0,0.2,3,2,0.03,0.03479609899752123,0.4359999895095825
flow0,0.2,3,3,0.003,0.030158601442134444,0.0
flow0,0.2,3,3,0.01,0.03261718042741355,0.0059999823570251465
flow0,0.2,3,3,0.03,0.03546730399924553,0.07399994134902954
flow0,0.2,4,1,0.003,0.020240426763618154,0.003999948501586914
flow0,0.2,4,1,0.01,0.026888855886586807,0.0059999823570251465
flow0,0.2,4,1,0.03,0.026622333620100393,0.07399994134902954
flow0,0.2,4,2,0.003,0.0358859839399941,0.17399996519088745
flow0,0.2,4,2,0.01,0.021033685638375745,0.2539999485015869
flow0,0.2,4,2,0.03,0.029624825542725997,0.5
flow0,0.2,4,3,0.003,0.0742127302461909,0.0
flow0,0.2,4,3,0.01,0.053489076256958035,0.001999974250793457
flow0,0.2,4,3,0.03,0.029146837139397388,0.09399998188018799
flow0,0.4,0,1,0.003,0.03209199248106357,0.0059999823570251465
flow0,0.4,0,1,0.01,0.027228287317752845,0.0059999823570251465
flow0,0.4,0,1,0.03,0.0361640794443377,0.04999995231628418
flow0,0.4,0,2,0.003,0.028556222786674825,0.10399997234344482
flow0,0.4,0,2,0.01,0.038138535369570424,0.11799997091293335
flow0,0.4,0,2,0.03,0.04247849362875548,0.25599998235702515
flow0,0.4,0,3,0.003,0.037801233537212695,0.001999974250793457
flow0,0.4,0,3,0.01,0.0395415728860748,0.003999948501586914
flow0,0.4,0,3,0.03,0.03706256989390516,0.0339999794960022
flow0,0.4,1,1,0.003,0.026134144386549495,0.001999974250793457
flow0,0.4,1,1,0.01,0.020559000044321072,0.01799994707107544
flow0,0.4,1,1,0.03,0.028876278527005753,0.03799992799758911
flow0,0.4,1,2,0.003,0.043327039634095614,0.13199996948242188
flow0,0.4,1,2,0.01,0.04965371210161081,0.13799995183944702
flow0,0.4,1,2,0.03,0.04403999188629249,0.2239999771118164
flow0,0.4,1,3,0.003,0.030574196233908165,0.0
flow0,0.4,1,3,0.01,0.02642154208252358,0.003999948501586914
flow0,0.4,1,3,0.03,0.037544762403888016,0.04399996995925903
flow0,0.4,2,1,0.003,0.029991081688030972,0.0
flow0,0.4,2,1,0.01,0.027136556794855708,0.0
flow0,0.4,2,1,0.03,0.030652240848422475,0.031999945640563965
flow0,0.4,2,2,0.003,0.04427169098993908,0.10399997234344482
flow0,0.4,2,2,0.01,0.035183941585733305,0.1579999327659607
flow0,0.4,2,2,0.03,0.04309190589402728,0.25199997425079346
flow0,0.4,2,3,0.003,0.041309970462666254,0.0
flow0,0.4,2,3,0.01,0.02624265908981326,0.003999948501586914
flow0,0.4,2,3,0.03,0.025906860057265182,0.035999953746795654
flow0,0.4,3,1,0.003,0.03287849786076921,0.0
flow0,0.4,3,1,0.01,0.024329517663894473,0.003999948501586914
