condition,w,sigma_d,seed,handoff,n_reached,w2
A0.01,0.1,0.1,2,2,200,0.019858166261236643
A0.01,0.1,0.1,3,1,200,0.017628017330771604
A0.01,0.1,0.1,3,2,200,0.01968004775685837
A0.01,0.1,0.1,4,1,200,0.017400030850786435
A0.01,0.1,0.1,4,2,200,0.019936037799175136
A0.01,0.2,0.0,0,1,200,0.027766911000658173
A0.01,0.2,0.0,0,2,200,0.01833445477290756
A0.01,0.2,0.0,1,1,200,0.02831259707929561
A0.01,0.2,0.0,1,2,200,0.024620356166399134
A0.01,0.2,0.0,2,1,200,0.02046575285644621
A0.01,0.2,0.0,2,2,200,0.0287605809094825
A0.01,0.2,0.0,3,1,200,0.02819158163319846
A0.01,0.2,0.0,3,2,200,0.015282371968087776
A0.01,0.2,0.0,4,1,200,0.02217051454219942
A0.01,0.2,0.0,4,2,200,0.02731072311569621
A0.01,0.2,0.02,0,1,200,0.02639773248499277
A0.01,0.2,0.02,0,2,200,0.02071528746073494
A0.01,0.2,0.02,1,1,200,0.02740361950195565
A0.01,0.2,0.02,1,2,200,0.020961466346366094
A0.01,0.2,0.02,2,1,200,0.020573840407608
A0.01,0.2,0.02,2,2,200,0.023328654022470596
A0.01,0.2,0.02,3,1,200,0.0359082983958242
A0.01,0.2,0.02,3,2,200,0.019742828307178367
A0.01,0.2,0.02,4,1,200,0.025299523667024933
A0.01,0.2,0.02,4,2,200,0.02414262482101011
A0.01,0.2,0.05,0,1,200,0.03250071816364712
A0.01,0.2,0.05,0,2,200,0.0199242804039426
A0.01,0.2,0.05,1,1,200,0.023217135120919358
A0.01,0.2,0.05,1,2,200,0.019109416880870773
A0.01,0.2,0.05,2,1,200,0.019035997420797483
A0.01,0.2,0.05,2,2,200,0.024288627561055594
A0.01,0.2,0.05,3,1,200,0.0318841076673605
A0.01,0.2,0.05,3,2,200,0.029221100540323296
A0.01,0.2,0.05,4,1,200,0.020206891926802178
A0.01,0.2,0.05,4,2,200,0.018620080684185497
A0.01,0.2,0.1,0,1,200,0.02802254063713807
A0.01,0.2,0.1,0,2,200,0.020193358277989643
A0.01,0.2,0.1,1,1,200,0.02874958226911016
A0.01,0.2,0.1,1,2,200,0.01968388642325563
A0.01,0.2,0.1,2,1,200,0.01824396366562151
A0.01,0.2,0.1,2,2,200,0.028373526855567068
A0.01,0.2,0.1,3,1,200,0.03339790110902124
A0.01,0.2,0.1,3,2,200,0.023147294546106086
A0.01,0.2,0.1,4,1,200,0.022355547439399957
