kind,w,seed,skill,iter,coupling_cost,sinkhorn,w2,killed
bridge,0.1,4,2,5,0.02904106117784977,0.004025779664516449,0.019676397899685637,0.465999960899353
bridge,0.1,4,3,0,0.10045519471168518,0.008349280804395676,0.022057994348134737,0.0059999823570251465
bridge,0.1,4,3,1,0.09357089549303055,0.008440833538770676,0.029186246067823253,0.01799994707107544
bridge,0.1,4,3,2,0.09187133610248566,0.01068754680454731,0.05468124342897464,0.007999956607818604
bridge,0.1,4,3,3,0.0921996682882309,0.008674504235386848,0.02968410515885892,0.00999993085861206
bridge,0.1,4,3,4,0.08635802567005157,0.008349470794200897,0.024467261634915468,0.00999993085861206
bridge,0.1,4,3,5,0.09056757390499115,0.009128729812800884,0.037401932331574524,0.00999993085861206
bridge,0.2,0,1,0,0.10550795495510101,0.006259474437683821,0.02967572888221688,0.00999993085861206
bridge,0.2,0,1,1,0.0939570888876915,0.006034946069121361,0.021585928235953334,0.0059999823570251465
bridge,0.2,0,1,2,0.09165430068969727,0.0059974901378154755,0.02138844401777448,0.027999937534332275
bridge,0.2,0,1,3,0.09063772112131119,0.005805199034512043,0.015003061090760255,0.015999972820281982
bridge,0.2,0,1,4,0.08296137303113937,0.005829671397805214,0.013889128327696633,0.011999964714050293
bridge,0.2,0,1,5,0.08273909986019135,0.0058455802500247955,0.018388195517017505,0.011999964714050293
bridge,0.2,0,2,0,0.04026520624756813,0.005940849892795086,0.02874175589894108,0.2459999918937683
bridge,0.2,0,2,1,0.0341467559337616,0.006107017397880554,0.026619693637061775,0.2799999713897705
bridge,0.2,0,2,2,0.03115827776491642,0.006354614160954952,0.03487822768937854,0.25599998235702515
bridge,0.2,0,2,3,0.033998701721429825,0.005888966843485832,0.02106791548049316,0.28999996185302734
bridge,0.2,0,2,4,0.02973734587430954,0.005829044617712498,0.02264330953040279,0.2979999780654907
bridge,0.2,0,2,5,0.030484167858958244,0.00608272198587656,0.02929291746340908,0.28999996185302734
bridge,0.2,0,3,0,0.10551955550909042,0.00906794797629118,0.03587177742637339,0.003999948501586914
bridge,0.2,0,3,1,0.08846142888069153,0.00851658545434475,0.026425143067796697,0.0059999823570251465
bridge,0.2,0,3,2,0.08620204776525497,0.009252472780644894,0.03685262790137804,0.001999974250793457
bridge,0.2,0,3,3,0.08625071495771408,0.00880511850118637,0.03418598527557687,0.001999974250793457
bridge,0.2,0,3,4,0.08669228106737137,0.008485853672027588,0.027425849456057663,0.0
bridge,0.2,0,3,5,0.08925426751375198,0.008674463257193565,0.029179925955672734,0.0059999823570251465
bridge,0.2,1,1,0,0.10514228045940399,0.005823164246976376,0.014955372276141908,0.007999956607818604
