condition,rough,sigma_k,seed,handoff,w2
BRIDGE-obs,mild,0.0,3,2,0.07221495151944643
BRIDGE-obs,mild,0.0,4,1,0.03761073259231977
BRIDGE-obs,mild,0.0,4,2,0.05836193287347868
BRIDGE-obs,mild,0.03,0,1,0.03912146161744928
BRIDGE-obs,mild,0.03,0,2,0.054122850731840616
BRIDGE-obs,mild,0.03,1,1,0.037666782361549446
BRIDGE-obs,mild,0.03,1,2,0.045869205109873114
BRIDGE-obs,mild,0.03,2,1,0.04304662184822077
BRIDGE-obs,mild,0.03,2,2,0.05839040830374115
BRIDGE-obs,mild,0.03,3,1,0.045673407679617944
BRIDGE-obs,mild,0.03,3,2,0.05692595087066598
BRIDGE-obs,mild,0.03,4,1,0.0388780280206678
BRIDGE-obs,mild,0.03,4,2,0.05772513090230917
BRIDGE-obs,mild,0.06,0,1,0.052224620724975475
BRIDGE-obs,mild,0.06,0,2,0.07411555653358978
BRIDGE-obs,mild,0.06,1,1,0.04731054614756384
BRIDGE-obs,mild,0.06,1,2,0.06560269127385106
BRIDGE-obs,mild,0.06,2,1,0.05820057096912744
BRIDGE-obs,mild,0.06,2,2,0.08260991266390848
BRIDGE-obs,mild,0.06,3,1,0.058105846811879074
BRIDGE-obs,mild,0.06,3,2,0.07642852451222883
BRIDGE-obs,mild,0.06,4,1,0.048079528855815595
BRIDGE-obs,mild,0.06,4,2,0.062195859308126114
BRIDGE-obs,mild,0.1,0,1,0.09575604368425845
BRIDGE-obs,mild,0.1,0,2,0.11854312232397583
BRIDGE-obs,mild,0.1,1,1,0.08808800243459866
BRIDGE-obs,mild,0.1,1,2,0.12588008672055162
BRIDGE-obs,mild,0.1,2,1,0.10654745559025433
BRIDGE-obs,mild,0.1,2,2,0.13853207190807948
BRIDGE-obs,mild,0.1,3,1,0.10270015903740154
BRIDGE-obs,mild,0.1,3,2,0.12753999633254093
BRIDGE-obs,mild,0.1,4,1,0.09005594947800052
BRIDGE-obs,mild,0.1,4,2,0.11324557588166594
BRIDGE-obs,mild,0.15,0,1,0.15457507638364124
BRIDGE-obs,mild,0.15,0,2,0.19298502362752634
BRIDGE-obs,mild,0.15,1,1,0.15002225239343478
BRIDGE-obs,mild,0.15,1,2,0.18632184029443943
BRIDGE-obs,mild,0.15,2,1,0.1755363895124427
BRIDGE-obs,mild,0.15,2,2,0.2036332169733581
BRIDGE-obs,mild,0.15,3,1,0.16079264113576822
BRIDGE-obs,mild,0.15,3,2,0.19970469929529416
BRIDGE-obs,mild,0.15,4,1,0.14347472842822476
BRIDGE-obs,mild,0.15,4,2,0.17907654070028084
BRIDGE-obs,rough,0.0,0,1,0.06292683353519225
BRIDGE-obs,rough,0.0,0,2,0.09186906386756305
BRIDGE-obs,rough,0.0,1,1,0.07381489321324833
BRIDGE-obs,rough,0.0,1,2,0.09072383319703434
BRIDGE-obs,rough,0.0,2,1,0.0695752803091212
BRIDGE-obs,rough,0.0,2,2,0.10312099785945618
BRIDGE-obs,rough,0.0,3,1,0.06421738914764477
BRIDGE-obs,rough,0.0,3,2,0.09772074447211923
BRIDGE-obs,rough,0.0,4,1,0.06112907185030182
BRIDGE-obs,rough,0.0,4,2,0.09281591250851814
BRIDGE-obs,rough,0.03,0,1,0.06469248071436655
BRIDGE-obs,rough,0.03,0,2,0.0949066283971116
BRIDGE-obs,rough,0.03,1,1,0.07324957248504603
BRIDGE-obs,rough,0.03,1,2,0.08146050867722211
BRIDGE-obs,rough,0.03,2,1,0.06934066324276376
BRIDGE-obs,rough,0.03,2,2,0.09834822849004808
BRIDGE-obs,rough,0.03,3,1,0.07782829680521176
BRIDGE-obs,rough,0.03,3,2,0.09447884252013201
BRIDGE-obs,rough,0.03,4,1,0.06554604922728968
BRIDGE-obs,rough,0.03,4,2,0.08893786213790206
BRIDGE-obs,rough,0.06,0,1,0.06823547472667607
BRIDGE-obs,rough,0.06,0,2,0.095061299380544
BRIDGE-obs,rough,0.06,1,1,0.06715675752666257
BRIDGE-obs,rough,0.06,1,2,0.08794871779051816
BRIDGE-obs,rough,0.06,2,1,0.08435493754828548
BRIDGE-obs,rough,0.06,2,2,0.11179253183966754
BRIDGE-obs,rough,0.06,3,1,0.07847867257778263
BRIDGE-obs,rough,0.06,3,2,0.1085362051760675
BRIDGE-obs,rough,0.06,4,1,0.07629486562994113
BRIDGE-obs,rough,0.06,4,2,0.10219550428497651
BRIDGE-obs,rough,0.1,0,1,0.08908362638290235
BRIDGE-obs,rough,0.1,0,2,0.12275303627708047
BRIDGE-obs,rough,0.1,1,1,0.08778120567537046
BRIDGE-obs,rough,0.1,1,2,0.11982046273927129
BRIDGE-obs,rough,0.1,2,1,0.10123438133046223
BRIDGE-obs,rough,0.1,2,2,0.14147053870254145
BRIDGE-obs,rough,0.1,3,1,0.10676051000679979
BRIDGE-obs,rough,0.1,3,2,0.13774424014708644
BRIDGE-obs,rough,0.1,4,1,0.09496136343467791
BRIDGE-obs,rough,0.1,4,2,0.12414339887743465
BRIDGE-obs,rough,0.15,0,1,0.13226327739717608
BRIDGE-obs,rough,0.15,0,2,0.1671595950902742
BRIDGE-obs,rough,0.15,1,1,0.1286811594813912
BRIDGE-obs,rough,0.15,1,2,0.16998476194797552
BRIDGE-obs,rough,0.15,2,1,0.15234388926814535
BRIDGE-obs,rough,0.15,2,2,0.19262641113902804
BRIDGE-obs,rough,0.15,3,1,0.14742690970454608
BRIDGE-obs,rough,0.15,3,2,0.18535937710606315
BRIDGE-obs,rough,0.15,4,1,0.1353932125033271
BRIDGE-obs,rough,0.15,4,2,0.17234431370631054
