condition,rough,sigma_k,success_mean,success_std,effort_mean,effort_std,corridor_dev_mean,corridor_dev_std,rec_median_mean,rec_median_std,never_mean,never_std,n_push,handoff1_w2_mean,handoff2_w2_mean,handoff1_w2_std,handoff2_w2_std
ORACLE,rough,0.15,0.648,0.03327912258458748,1.7126515499949455,0.010499333969734745,0.21408653312921527,0.0026517926906882913,13.6,0.547722557505166,0.2056659785172839,0.02346438218645527,2842.0,0.09027138480192086,0.09233828125741307,0.012069565379402805,0.014973519032940833
TRACK,mild,0.0,1.0,0.0,0.9814240614175797,0.0024926320959796685,0.20676389908790588,0.0013970320745401396,,,,,,0.026845862844163015,0.027731172594147823,0.0028325818439831002,0.002030912682111387
TRACK,mild,0.03,0.992,0.0057008771254957145,1.0264263311624526,0.003715446767372255,0.20731679224967955,0.0010796478190257593,3.2,0.4472135954999579,0.03678813149565981,0.0144923716614368,381.0,0.023062104631524073,0.024504329115849453,0.0038819854535314135,0.0019556562664012314
TRACK,mild,0.06,0.96,0.014577379737113264,1.147776340186596,0.004435399311440071,0.2069112721681595,0.0012819577511127985,5.8,0.44721359549995787,0.057261016510339324,0.007880833812895116,1691.0,0.020834281925333663,0.024791005401583015,0.0015889563774969136,0.0016424042689697042
TRACK,mild,0.1,0.873,0.026832815729997468,1.3401975666284562,0.006086148767572898,0.20915252310037613,0.001759054408907085,8.8,0.44721359549995815,0.09331062368974692,0.015593722306643566,2649.0,0.02916209233453767,0.029637196097924867,0.0027464600592452095,0.004931344549505814
TRACK,mild,0.15,0.787,0.03817721833764215,1.560077037155628,0.01150550115226054,0.21608861319720746,0.0025301743540359673,11.2,0.44721359549995776,0.13957013630053328,0.011381113107150332,3120.0,0.060658299989886054,0.059657470849182784,0.007453980456983785,0.010607061825253507
TRACK,rough,0.0,0.974,0.017818529681205477,1.2388848764300344,0.011825441339742292,0.1926546953767538,0.0009011156077861673,,,,,,0.022148946630802285,0.022965104759003332,0.0026937181555832077,0.0019432345582938587
TRACK,rough,0.03,0.9570000000000001,0.013038404810405304,1.2899311931729316,0.012623790918674011,0.19221756620705127,0.0012814861974822416,4.1,0.22360679774997902,0.06239190434245563,0.006261345674789533,400.0,0.02268265051317448,0.021274320519559416,0.0028228280536505756,0.0011385686481669183
TRACK,rough,0.06,0.891,0.03209361307176246,1.430293187737465,0.014207032821818094,0.19182811741530897,0.001368387505189289,6.0,0.7071067811865476,0.08130029461496166,0.013812072872726386,1707.0,0.021094243419532997,0.021394002622236914,0.0018966386461262087,0.0013749308881669644
TRACK,rough,0.1,0.794,0.030290262461721926,1.6384694132208826,0.007875678588666725,0.19529882322996855,0.0019119153226099933,9.1,0.7416198487095663,0.12166734937702679,0.023145090490385403,2646.0,0.033931205813646205,0.034151600061774604,0.0032351895770999953,0.006276256253172582
TRACK,rough,0.15,0.662,0.04009364039345891,1.8539740667343139,0.009866678125871114,0.20657527060806752,0.0024295102518757253,11.8,0.44721359549995804,0.17644499713132272,0.023434377283691573,2961.0,0.07806933779373951,0.0797795748518654,0.006635917556275088,0.014667496612093116
